state,year,president,party
Alabama,1981,"Reagan, Ronald",Republican
Alabama,1982,"Reagan, Ronald",Republican
Alabama,1983,"Reagan, Ronald",Republican
Alabama,1984,"Reagan, Ronald",Republican
Alabama,1985,"Reagan, Ronald",Republican
Alabama,1986,"Reagan, Ronald",Republican
Alabama,1987,"Reagan, Ronald",Republican
Alabama,1988,"Reagan, Ronald",Republican
Alabama,1989,"Bush, George H.W.",Republican
Alabama,1990,"Bush, George H.W.",Republican
Alabama,1991,"Bush, George H.W.",Republican
Alabama,1992,"Bush, George H.W.",Republican
Alabama,1993,"Bush, George H.W.",Republican
Alabama,1994,"Bush, George H.W.",Republican
Alabama,1995,"Bush, George H.W.",Republican
Alabama,1996,"Bush, George H.W.",Republican
Alabama,1997,"Dole, Robert",Republican
Alabama,1998,"Dole, Robert",Republican
Alabama,1999,"Dole, Robert",Republican
Alabama,2000,"Dole, Robert",Republican
Alabama,2001,"Bush, George W.",Republican
Alabama,2002,"Bush, George W.",Republican
Alabama,2003,"Bush, George W.",Republican
Alabama,2004,"Bush, George W.",Republican
Alabama,2005,"Bush, George W.",Republican
Alaska,1981,"Reagan, Ronald",Republican
Alaska,1982,"Reagan, Ronald",Republican
Alaska,1983,"Reagan, Ronald",Republican
Alaska,1984,"Reagan, Ronald",Republican
Alaska,1985,"Reagan, Ronald",Republican
Alaska,1986,"Reagan, Ronald",Republican
Alaska,1987,"Reagan, Ronald",Republican
Alaska,1988,"Reagan, Ronald",Republican
Alaska,1989,"Bush, George H.W.",Republican
Alaska,1990,"Bush, George H.W.",Republican
Alaska,1991,"Bush, George H.W.",Republican
Alaska,1992,"Bush, George H.W.",Republican
Alaska,1993,"Bush, George H.W.",Republican
Alaska,1994,"Bush, George H.W.",Republican
Alaska,1995,"Bush, George H.W.",Republican
Alaska,1996,"Bush, George H.W.",Republican
Alaska,1997,"Dole, Robert",Republican
Alaska,1998,"Dole, Robert",Republican
Alaska,1999,"Dole, Robert",Republican
Alaska,2000,"Dole, Robert",Republican
Alaska,2001,"Bush, George W.",Republican
Alaska,2002,"Bush, George W.",Republican
Alaska,2003,"Bush, George W.",Republican
Alaska,2004,"Bush, George W.",Republican
Alaska,2005,"Bush, George W.",Republican
